2025-08-17 20:51:20 - INFO - app - ✅ Step 280 model already exists, skipping...
2025-08-17 20:51:20 - INFO - app - ✅ Step 281 model already exists, skipping...
2025-08-17 20:51:20 - INFO - app - ✅ Step 282 model already exists, skipping...
2025-08-17 20:51:20 - INFO - app - ✅ Step 283 model already exists, skipping...
2025-08-17 20:51:20 - INFO - app - ✅ Step 284 model already exists, skipping...
2025-08-17 20:51:20 - INFO - app - ✅ Step 285 model already exists, skipping...
2025-08-17 20:51:20 - INFO - app - ✅ Step 286 model already exists, skipping...
2025-08-17 20:51:20 - INFO - app - ✅ Step 287 model already exists, skipping...
2025-08-17 20:51:20 - INFO - app - ✅ Training complete: 288 models saved
2025-08-17 20:52:19 - INFO - app - Step 000 → RMSE=0.155, MAE=0.104, MAPE=inf, R2=0.963
2025-08-17 20:53:24 - INFO - app - Step 001 → RMSE=0.154, MAE=0.102, MAPE=inf, R2=0.963
2025-08-17 20:54:19 - INFO - app - Step 002 → RMSE=0.154, MAE=0.102, MAPE=inf, R2=0.963
2025-08-17 20:55:19 - INFO - app - Step 003 → RMSE=0.154, MAE=0.102, MAPE=inf, R2=0.963
2025-08-17 20:56:10 - INFO - app - Step 004 → RMSE=0.154, MAE=0.102, MAPE=inf, R2=0.963
